Punchlist,Facility,City,State,Field,Old,New,Evidence
V25.8-P,BETHANY WOODS NURSING AND REHABILITATION CENTER,ALBEMARLE,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,BARBOUR COURT NURSING AND REHABILITATION CENTER,Smithfield,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,CAROLINA RIVERS NURSING AND REHABILITATION CENTER,JACKSONVILLE,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,CHERRY POINT BAY NURSING AND REHABILITATION CENTER,HAVELOCK,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,CLEAR CREEK NURSING & REHABILITATION CENTER,MINT HILL,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,CROATAN RIDGE NURSING AND REHABILITATION CENTER,NEWPORT,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,CARROLTON OF FAYETTEVILLE,Fayetteville,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,CLEAR CREEK NURSING AND REHABILITATION CENTER,Mint Hill,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,FRANKLIN OAKS NURSING AND REHABILITATION CENTER,LOUISBURG,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,GRAHAM HEALTHCARE AND REHABILITATION CENTER,ROBBINSVILLE,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,GRANTSBROOK NURSING AND REHABILITATION CENTER,GRANTSBORO,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,GREENDALE FOREST NURSING AND REHABILITATION CENTER,SNOW HILL,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,GREENHAVEN HEALTH AND REHABILITATION CENTER,GREENSBORO,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,HARNETT WOODS NURSING AND REHABILITATION CENTER,DUNN,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,JACOB'S CREEK NURSING AND REHABILITATION CENTER,MADISON,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,KERR LAKE NURSING AND REHABILITATION CENTER,HENDERSON,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,LAKE PARK NURSING AND REHABILITATION CENTER,INDIAN TRAIL,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,LAKE PARK NURSING AND REHABILITATION CENTER,Indian Trail,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,MACON VALLEY NURSING AND REHABILITATION CENTER,FRANKLIN,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,MAGNOLIA LANE NURSING AND REHABILITATION CENTER,MORGANTON,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,MAPLE GROVE HEALTH AND REHABILITATION CENTER,GREENSBORO,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,NORTHAMPTON NURSING AND REHABILITATION CENTER,JACKSON,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,NORTHCHASE NURSING AND REHABILITATION CENTER,WILMINGTON,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,PINE RIDGE HEALTH AND REHABILITATION CENTER,THOMASVILLE,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,PINEY GROVE NURSING AND REHABILITATION CENTER,KERNERSVILLE,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,PREMIER NURSING AND REHABILITATION CENTER,JACKSONVILLE,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,RICHMOND PINES HEALTHCARE AND REHABILITATION CENTE,HAMLET,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,RIVER TRACE NURSING AND REHABILITATION CENTER,WASHINGTON,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,RIVERPOINT CREST NURSING AND REHABILITATION CENTER,NEW BERN,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,RIVER TRACE NURSING AND REHABILITATION CENTER,Washington,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,SMOKY MOUNTAIN HEALTH AND REHABILITATION CENTER,WAYNESVILLE,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,SPRINGBROOK NURSING & REHABILITATION  CENTER,CLAYTON,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,THE CARROLTON OF FAYETTEVILLE,FAYETTEVILLE,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,TOWER NURSING AND REHABILITATION CENTER,RALEIGH,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,TOWER NURSING AND REHABILITATION CENTER,Raleigh,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,UNIVERSITY PLACE NURSING AND REHABILITATION CENTER,CHARLOTTE,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,WESTWOOD HILLS NURSING AND REHABILITATION CENTER,WILKESBORO,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,WILLOW CREEK NURSING AND REHABILITATION CENTER,GOLDSBORO,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,WILSON PINES NURSING AND REHABILITATION CENTER,WILSON,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,WILSON PINES NURSING AND REHABILITATION CENTER,Wilson,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,WAYLAND NURSING AND REHABILITATION CENTER,KEYSVILLE,VA,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,Eden Fields  Memory Care,Standish,MI,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-A,ARBORS AT GALLIPOLIS,GALLIPOLIS,OH,Corporate_Name,ARBORS,ARBORS AT OHIO,"CMS chain Arbors At Ohio, Ark Opco Group LLC"
V25.8-A,ARBORS AT MILFORD,MILFORD,OH,Corporate_Name,ARBORS,ARBORS AT OHIO,"CMS chain Arbors At Ohio, Ark Opco Group LLC"
V25.8-A,ARBORS AT POMEROY,POMEROY,OH,Corporate_Name,ARBORS,ARBORS AT OHIO,"CMS chain Arbors At Ohio, Ark Opco Group LLC"
V25.8-A,ARBORS AT STOW,STOW,OH,Corporate_Name,ARBORS,ARBORS AT OHIO,"CMS chain Arbors At Ohio, Ark Opco Group LLC"
V25.8-A,ARBORS AT SYLVANIA,TOLEDO,OH,Corporate_Name,ARBORS,ARBORS AT OHIO,"CMS chain Arbors At Ohio, Ark Opco Group LLC"
V25.8-A,ARBORS AT CARROLL,Carroll,OH,Corporate_Name,ARBORS,ARBORS AT OHIO,"CMS chain Arbors At Ohio, Ark Opco Group LLC"
V25.8-A,ARBORS AT GALLIPOLIS,Gallipolis,OH,Corporate_Name,ARBORS,ARBORS AT OHIO,"CMS chain Arbors At Ohio, Ark Opco Group LLC"
V25.8-A,ARBORS AT POMEROY,Pomeroy,OH,Corporate_Name,ARBORS,ARBORS AT OHIO,"CMS chain Arbors At Ohio, Ark Opco Group LLC"
V25.8-A,ARBORS AT SPRINGFIELD,Springfield,OH,Corporate_Name,ARBORS,ARBORS AT OHIO,"CMS chain Arbors At Ohio, Ark Opco Group LLC"
V25.8-T,TRADITIONS - REAGAN PARK,Avon,IN,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
V25.8-T,TRADITIONS OF COLUMBUS,Columbus,IN,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
V25.8-T,TRADITIONS AT BEAUMONT,Louisville,KY,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
V25.8-T,TRADITIONS AT CAMARGO,Madeira,OH,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
V25.8-T,TRADITIONS AT NORTH BEND,Cincinnati,OH,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
V25.8-T,TRADITIONS - NORTH BEND,Cincinnati,OH,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
V25.8-T,GROVE CITY SENIOR LIVING BY TRADITIONS,Grove City,OH,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
V25.8-T,MEADOW BROOK SENIOR LIVING,Fishers,IN,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
V25.8-T,TRADITIONS AT BROOKSIDE,Mccordsville,IN,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
V25.8-T,TRADITIONS AT HUNTER STATION,Sellersburg,IN,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
V25.8-T,TRADITIONS AT LEBANON,Lebanon,OH,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
V25.8-T,TRADITIONS AT NORTH WILLOW,Indianapolis,IN,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
V25.8-T,TRADITIONS OF BEAVERCREEK,Beavercreek,OH,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
V25.8-T,Quincy Place Senior Living,Holland,MI,Corporate_Name,TRADITIONS,TRADITIONS MANAGEMENT,"Traditions Management LLC, traditionsmgmt.net"
#1,COMMONWEALTH SOUTH BOSTON-ALF,South Boston,VA,Corporate_Name,MCAP,COMMONWEALTH SENIOR LIVING,"MCAP is investor/PropCo, CSL is operator"
#1,COMMONWEALTH-ABINGDON ALF,Abingdon,VA,Corporate_Name,MCAP,COMMONWEALTH SENIOR LIVING,"MCAP is investor/PropCo, CSL is operator"
#1,COMMONWEALTH-CEDAR BLUFF ALF,Cedar Bluff,VA,Corporate_Name,MCAP,COMMONWEALTH SENIOR LIVING,"MCAP is investor/PropCo, CSL is operator"
#1,COMMONWEALTH-CHARLOTTESVILLE - ALF,Charlottesville,VA,Corporate_Name,MCAP,COMMONWEALTH SENIOR LIVING,"MCAP is investor/PropCo, CSL is operator"
#1,COMMONWEALTH-CHRISTIANSBURG ALF,Christiansburg,VA,Corporate_Name,MCAP,COMMONWEALTH SENIOR LIVING,"MCAP is investor/PropCo, CSL is operator"
#1,COMMONWEALTH-HILLSVILLE ALF,Hiillsville,VA,Corporate_Name,MCAP,COMMONWEALTH SENIOR LIVING,"MCAP is investor/PropCo, CSL is operator"
#1,COMMONWEALTH-RADFORD ALF,Radford,VA,Corporate_Name,MCAP,COMMONWEALTH SENIOR LIVING,"MCAP is investor/PropCo, CSL is operator"
#8,COMMONWEALTH-HILLSVILLE ALF,Hiillsville,VA,City,Hiillsville,Hillsville,City typo correction
#4,RADFORD HEALTH AND REHAB CENTER,RADFORD,VA,Corporate_Name,COMMONWEALTH SENIOR LIVING,COMMONWEALTH CARE OF ROANOKE,CMS Chain 152 confirms CCR
#5,LEE HEALTH AND REHAB CENTER,PENNINGTON GAP,VA,Corporate_Name,LEE HEALTH AND ENCOMPASS HEALTH,COMMONWEALTH CARE OF ROANOKE,CMS Chain 152 confirms CCR
#5,LEE HEALTH AND REHAB,Pennington Gap,VA,Corporate_Name,LEE HEALTH AND ENCOMPASS HEALTH,COMMONWEALTH CARE OF ROANOKE,CMS Chain 152 confirms CCR
#9,CADENCE MOORESVILLE,Mooresville,NC,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,CADENCE NORTH RALEIGH,Raleigh,NC,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,CADENCE SENIOR LIVING AT MINT HILL,Matthews,NC,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,CADENCE AT CLEMMONS,Clemmons,NC,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,CADENCE AT WAKE FOREST,Wake Forest,NC,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,COGIR OF ALEXANDRIA FILLMORE,Alexandria,VA,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,COGIR OF OLD TOWN ALEXANDRIA,Alexandria,VA,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,COGIR OF WEST END ALEXANDRIA,Alexandria,VA,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,CADENCE  ASSISTED LIVING OF WAKE FOREST,Wake Forest,NC,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,CADENCE  GARNER,Garner,NC,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,CADENCE HUNTERSVILLE,Huntersville,NC,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,SOLISTA CHARLOTTE,Charlotte,NC,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,SOLISTA DURHAM,Durham,NC,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,SOLISTA HIGH POINT,High Point,NC,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,THE TRIBUTE AT THE GLEN,Woodbridge,VA,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,TRIBUTE AT ONE LOUDOUN,Ashburn,VA,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,Atrium Village,Owings Mills,MD,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,Cogir of Potomac,Potomac,MD,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,The Georgian Lakeside,Roswell,GA,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,Tribute at Black Hill,Germantown,MD,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#9,Tribute at Melford Village,Bowie,MD,Corporate_Name,Cogir USA,COGIR SENIOR LIVING,"Canadian parent, merged with Cadence Living 2022"
#10,CADENCE HUNTERSVILLE,Huntersville,NC,Corporate_Name,"GAHC3 HUNTERSVILLE NC TRS SUB, LLC",COGIR SENIOR LIVING,"Griffin-American REIT is owner, Cogir is operator"
#14,BRISTOL VILLAGE AL,Waverly,OH,Corporate_Name,"WAVERLY CARE CENTER, INC",NATIONAL CHURCH RESIDENCES,CMS confirms operator is NCR
#14,BRISTOL VILLAGE SNF,Waverly,OH,Corporate_Name,"WAVERLY CARE CENTER, INC",NATIONAL CHURCH RESIDENCES,CMS confirms operator is NCR
#14,WAVERLY HEIGHTS,Gladwyne,PA,Corporate_Name,"WAVERLY CARE CENTER, INC",NATIONAL CHURCH RESIDENCES,CMS confirms operator is NCR
#14,WAVERLY HEIGHTS,Gladwyne,PA,Corporate_Name,"WAVERLY CARE CENTER, INC",NATIONAL CHURCH RESIDENCES,CMS confirms operator is NCR
#15,NATIONAL CHURCH RESIDENCES BRISTOL VILLAGE,WAVERLY,OH,Corporate_Name,(NULL),NATIONAL CHURCH RESIDENCES,NCR affiliate
#15,FIRST COMMUNITY VILLAGE HEALTHCARE CTR,COLUMBUS,OH,Corporate_Name,(NULL),NATIONAL CHURCH RESIDENCES,NCR affiliate
#20,CUMBERLAND NURSING AND REHABILITATION CENTER,SOMERSET,KY,Corporate_Name,BENJAMIN LANDA,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,ELIZABETHTOWN NURSING AND REHABILITATION CENTER,ELIZABETHTOWN,KY,Corporate_Name,BENJAMIN LANDA,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,ELIZABETHTOWN NURSING AND REHAB CENTER,Elizabethtown,KY,Corporate_Name,BENJAMIN LANDA,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,FORDSVILLE NURSING AND REHABILITATION CENTER,FORDSVILLE,KY,Corporate_Name,BENJAMIN LANDA,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,HENDERSON NURSING AND REHABILITATION CENTER,HENDERSON,KY,Corporate_Name,BENJAMIN LANDA,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,KENWOOD HEALTH AND REHABILITATION CENTER,RICHMOND,KY,Corporate_Name,BENJAMIN LANDA,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,MADISON HEALTH AND REHABILITATION CENTER,RICHMOND,KY,Corporate_Name,BENJAMIN LANDA,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,MORGANFIELD NURSING AND REHABILITATION CENTER,MORGANFIELD,KY,Corporate_Name,BENJAMIN LANDA,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,RIVER HAVEN NURSING AND REHABILITATION CENTER,PADUCAH,KY,Corporate_Name,BENJAMIN LANDA,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,SALYERSVILLE NURSING AND REHABILITATION CENTER,SALYERSVILLE,KY,Corporate_Name,BENJAMIN LANDA,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,SHADY LAWN NURSING AND REHABILITATION CENTER,CADIZ,KY,Corporate_Name,BENJAMIN LANDA,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,TWIN RIVERS NURSING AND REHABILITATION CENTER,OWENSBORO,KY,Corporate_Name,BENJAMIN LANDA,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,WOODCREST NURSING AND REHABILITATION CENTER,ELSMERE,KY,Corporate_Name,BENJAMIN LANDA,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,PIKEVILLE NURSING AND REHAB CENTER,PIKEVILLE,KY,Corporate_Name,EMERALD HEALTHCARE,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#20,PIKEVILLE NURSING AND REHAB,Pikeville,KY,Corporate_Name,EMERALD HEALTHCARE,TOPAZ HEALTHCARE,KY DMS LTC directory + Topaz 8-step verified
#22,METCALFE HEALTH CARE CENTER AL,Edmonton,KY,Corporate_Name,,TOPAZ HEALTHCARE,Metcalfe sold to Topaz Sep 2025
#22,METCALFE HEALTH CARE CENTER SNF,Edmonton,KY,Corporate_Name,INDEPENDENT,TOPAZ HEALTHCARE,Same CHOW
#22-type,METCALFE HEALTH CARE CENTER SNF,Edmonton,KY,Source_Type,ALF,SNF,CCN 185217 SNFMD
#22-beds,METCALFE HEALTH CARE CENTER SNF,Edmonton,KY,Total_Beds,64,71,CMS certified=71
C1,HAMILTON POINTE HEALTH AND REHAB - AL,Newburgh,IN,Corporate_Name,RIVERVIEW HOSPITAL,TLC MANAGEMENT,ProPublica h-155803 + tlcmgmt.com
C1,HAMILTON POINTE HEALTH AND REHAB - MC,Newburgh,IN,Corporate_Name,RIVERVIEW HOSPITAL,TLC MANAGEMENT,ProPublica h-155803 + tlcmgmt.com
C1,HAMILTON POINTE HEALTH AND REHAB - SNF,Newburgh,IN,Corporate_Name,RIVERVIEW HOSPITAL,TLC MANAGEMENT,ProPublica h-155803 + tlcmgmt.com
C3,CARMEL MANOR,FORT THOMAS,KY,DELETE ROW,,,Duplicate no GLR match
C3-type,CARMEL MANOR FORT THOMAS SNF,Fort Thomas,KY,Source_Type,ALF,SNF,CCN 185208
C3-beds,CARMEL MANOR FORT THOMAS SNF,Fort Thomas,KY,Total_Beds,87,95,CMS certified=95
C4,SHADY LAWN,Cynthiana,KY,DELETE ROW,,,Unserved dup Pair 12
C4,SHADY LAWN - CYNTHIANA,Cynthiana,KY,Corporate_Name,"SHADY LAWN, LLC",INDEPENDENT,KY CHFS single-facility LLC no operator
C4-beds,SHADY LAWN - CYNTHIANA,Cynthiana,KY,Total_Beds,56,75,GLR + KY CHFS
C5,DOMINION SENIOR LIVING FRANKFORT,Frankfort,KY,DELETE ROW,,,Unserved dup
C5-beds,DOMINION SENIOR LIVING OF FRANKFORT,Frankfort,KY,Total_Beds,21,84,GLR Licensed Bed=84
C6,MORNING POINTE OF OWENSBORO,Owensboro,KY,DELETE ROW,,,Genesis misattribution NIC-A dup
C6-beds,MORNING POINTE OWENSBORO,Owensboro,KY,Total_Beds,14,66,NIC-A Heritage Place pre-reno
C7,ARCADIA SENIOR LIVING,Bowling Green,KY,DELETE ROW,,,Unserved dup 110 beds
C7,ARCADIA SENIOR LIVING BOWLING GREEN,Bowling Green,KY,DELETE ROW,,,Unserved dup 87 beds
C7,ARCADIA SENIOR LIVING,Bowling Green,KY,Corporate_Name,INDEPENDENT,ARCADIA COMMUNITIES,11-step verified arcadia-communities.com
C7-beds,ARCADIA SENIOR LIVING,Bowling Green,KY,Total_Beds,26,87,GLR
C9,THE BUNGALOWS AT BOWLING GREEN,Bowling Green,KY,DELETE ROW,,,Typo dup Pair 13
C9-beds,THE BUNGALOS AT BOWLING GREEN,Bowling Green,KY,Total_Beds,19,28,GLR
C10,CYPRESS GLEN RETIREMENT COMMUNITY,Greenville,NC,Corporate_Name,INDEPENDENT,LIFE CARE SERVICES,ProPublica h-345512 + lcsliving.com
C10,CYPRESS GLEN RETIREMENT COMMUNITY MEMORY CARE COTTAGE,Greenville,NC,Corporate_Name,,LIFE CARE SERVICES,Same CCRC campus
P10,"FERN TERRACE OF MAYFIELD, LLC",Mayfield,KY,DELETE ROW,,,Unserved LLC name dup
