facility_name,type,address,city,zip,administrator,phone,fax,license_num,lic_expire
CEDARHURST OF CROWN POINT,Residential,10255 BROADWAY,CROWN POINT,46307,TIFFANY ANDERSON,2192139650,N/A,25-16805--1,3/31/2026
CEDARHURST OF DYER,Residential,1763 CALUMET AVENUE,DYER,46311,TIFFANY ANDERSON,2195006591,N/A,26-014415-1,12/31/2026
CEDARHURST OF EDISON LAKES,Residential,1025 PARK PLACE,MISHAWAKA,46545,STACY DEMEESTER,5742471552,N/A,26-013331-1,1/31/2027
CEDARHURST OF FORT WAYNE,Residential,9210 MAYSVILLE ROAD,FORT WAYNE,46815,KARI LYNN CERUTTI,2607480904,N/A,25-014576-1,8/31/2026
CEDARHURST OF NEWBURGH,Residential,10144 WARRICK TRAIL,NEWBURGH,47630,"TERRY ""TJ"" BATES",8125180076,N/A,25-016276-1,8/31/2026
CELEBRATION VILLA OF NEWBURGH,Residential,5311 ROSEBUD LANE,NEWBURGH,47630,MICHELLE WEBER,8124795585,N/A,25-016981-1,3/31/2026
CELEBRATION VILLA OF RICHMOND,Residential,3700 SOUTH A STREET,RICHMOND,47374,SUSAN BUCKINGHAM,7659393310,N/A,25-010888-1,9/30/2026
CHANDLER PLACE,Residential,2879 S LIMA RD,KENDALLVILLE,46755,ALYSSA PENDER,2603491030,N/A,25-004440-1,6/30/2026
CHAPTERS LIVING OF CARMEL,Residential,11610 TECHNOLOGY DR,CARMEL,46032,KIMBERLY VIERLING,3178181786,N/A,25-012309-1,6/30/2026
CHAPTERS LIVING OF FLOYDS KNOBS,Residential,3700 LAFAYETTE PKWY,FLOYDS KNOBS,47119,MELISSA PRENATT,8129234888,N/A,25-012161-1,11/30/2026
CHAPTERS LIVING OF GREENSBURG,Residential,1034 CROWN POINTE BLVD,GREENSBURG,47240,JAMIE SMITH,8126628888,N/A,25-011914-1,4/30/2026
CHAPTERS LIVING OF JEFFERSONVILLE,Residential,2700 WATERS EDGE PKWY,JEFFERSONVILLE,47130,STEVEN BRIAN,8122844336,N/A,26-004001-1,2/28/2027
CHAPTERS LIVING OF SOUTH BEND,Residential,955 HICKORY ROAD,SOUTH BEND,46615,JASMINE WYNNE,5743145369,N/A,25-016149-1,10/30/2026
CHARLES FORD MEMORIAL HOME INC,Residential,920 S MAIN ST,NEW HARMONY,47631,AMY KNOPF-KOCH,8126824685,N/A,25-001123-1,9/30/2026
CHARTER SENIOR LIVING OF GATEWAY PARK,Residential,6338 WEST QUIET ROAD,GREENFIELD,46140,HEATHER SOOTS,3177079931,N/A,26-015521-2,1/31/2027
CHARTER SENIOR LIVING OF HOBBS STATION,Residential,2749 PEARSON PARKWAY,PLAINFIELD,46168,JACQUELINE MULLINS,3178000480,N/A,25-016160-1,4/30/2026
CHATEAU OF BATESVILLE,Residential,44 CHATEAU BLVD,BATESVILLE,47006,MEGAN NOBBE,8129328888,N/A,25-006489-1,9/30/2026
"COMMONS AT HONEY CREEK, THE",Residential,1450 EAST CROSSING BOULEVARD,TERRE HAUTE,47802,ERIN BROWN,8122988209,N/A,25-015282-1,8/31/2026
COMMONS AT JACKSON CREEK,Residential,3802 SARE RD,BLOOMINGTON,47401,CHAD MASHBURN,8123300885,N/A,26-011076-1,12/31/2026
COMMONS AT JUDAY CREEK,Residential,17441 SR 23,SOUTH BEND,46635,ALLISON KINGERY,5742732233,N/A,25-010667-1,5/31/2026
"COMMONS ON MERIDIAN, THE",Residential,8549 N MERIDIAN STREET,INDIANAPOLIS,46260,AMY YANTISS,3175620489,N/A,26-013933-1,12/31/2026
"COMMUNITY DEVELOPMENT CORPORATION OF MISHAWAKA, IN",Residential,500 LINCOLNWAY EAST,MISHAWAKA,46544,THOMAS KLEMPAY,5748553937,N/A,25-012688-2,9/30/2026
COUNTRY CHARM,Residential,3177 MERIDIAN PARKE DR,GREENWOOD,46142,ANGELA SORTORE,3178825455,N/A,25-011478-1,9/30/2026
"COVENTRY MEADOWS, L.L.C.",Residential,7833 W JEFFERSON BLVD,FORT WAYNE,46804,RHONDA OWENS,2604324848,N/A,26-005846-1,1/31/2027
CROSSINGS AT BANTA POINTE SENIOR LIVING,Residential,6510 U.S. 31 SOUTH,INDIANAPOLIS,46227,TIMOTHY COOPER,3177834663,N/A,25-014018-2,10/31/2026
CROSSINGS AT COVINGTON COMMONS,Residential,2601 COVINGTON COMMONS DRIVE,FORT WAYNE,46804,HEATHER REICH,2604321932,N/A,25-014017-2,10/31/2026
CROSSINGS AT KOKOMO,Residential,2501 FRIENDSHIP BLVD,KOKOMO,46901,DOUGLAS HURLBUT,7654540001,N/A,26-014019-1,12/31/2026
CROSSINGS AT NOBLESVILLE SENIOR LIVING,Residential,7235 RIVERWALK WAY N,NOBLESVILLE,46062,DAVID PRUETT,3177700011,N/A,25-004417-2,10/31/2026
CROWNPOINTE OF ANDERSON,Residential,2727 CROWNPOINTE CIRCLE,ANDERSON,46012,ROBERT COOK,7656419995,N/A,25-012129-1,11/30/2026
CROWNPOINTE OF GREENFIELD,Residential,831 SWOPE STREET,GREENFIELD,46140,SIERRA LAUDERMILT,3174679317,N/A,26-012798-1,1/31/2027
CROWNPOINTE OF HARTFORD CITY,Residential,100 INDEPENDENCE PARKWAY,HARTFORD CITY,47348,ANGELA WORKMAN,7653483250,N/A,25-013578-1,5/31/2026
CROWNPOINTE OF INDIANAPOLIS,Residential,7365 E 16TH ST,INDIANAPOLIS,46219,ANDREA WILSON,3173512578,N/A,25-005729-1,6/30/2026
CROWNPOINTE OF LEBANON,Residential,610 CROWNPOINTE DRIVE,LEBANON,46052,LORI WEAVER,7654823436,N/A,25-013582-1,4/30/2026
CROWNPOINTE OF PORTLAND,Residential,745 PATRIOT DRIVE,PORTLAND,47371,AMANDA HIRSCHY,2607263577,N/A,25-014090-1,9/30/2026
DEMAREE CROSSING ASSISTED LIVING AND MEMORY CARE,Residential,1255 DEMAREE ROAD,GREENWOOD,46143,RHIANNON STUDY,3173168380,N/A,25-014079-1,8/31/2026
DIGBY PLACE,Residential,167 CR W 240 S,LAFAYETTE,47905,ANMBER SHAUGHNESSY,7654718552,N/A,25-004392-1,6/30/2026
ELKHART PLACE ASSISTED LIVING,Residential,2024 COUNTY ROAD 24,ELKHART,46517,TERRI MCLEMORE,5742959058,N/A,25-004353-1,10/31/2026
"ELMS AT MICHIGAN CITY, THE",Residential,4300 CLEVELAND RD,MICHIGAN CITY,46360,TIFFANY KUZIO,2198726800,N/A,25-012180-2,7/31/2026
EVERGREEN VILLAGE AT BLOOMINGTON,Residential,3607 SOUTH HEIRLOOM DRIVE,BLOOMINGTON,47401,NICHOLE MCNALLY,8123362718,N/A,25-014002-1,8/31/2026
EVERGREEN VILLAGE AT FORT WAYNE,Residential,12523 AUBURN ROAD,FORT WAYNE,46845,EMILY NELSON,2606372830,N/A,25-014512-1,10/31/2026
FIVE STAR RESIDENCES OF LAFAYETTE,Residential,250 SHENANDOAH DRIVE,LAFAYETTE,47905,TIFFANY TRIBBLE,7654494475,N/A,26-014015-1,12/31/2026
FORT HARRISON ALF OPERATIONS,Residential,8025 DOUBLEDAY DRIVE,INDIANAPOLIS,46216,DAMETRIA MARSHALL,3175462845,N/A,25-014109-1,10/31/2026
FORUM AT THE CROSSING,Residential,8505 WOODFIELD CROSSING BLVD,INDIANAPOLIS,46240,LARRY DIERSING,3174662020,N/A,26-015281-1,12/31/2026
FRANKLIN SENIOR LIVING LLC,Residential,1375 NICOLE DRIVE,FRANKLIN,46131,JENNIFER E DELP,4637242121,N/A,25-015132-1,3/31/2026
GENTRY PARK,Residential,901 S HASTINGS DR,BLOOMINGTON,47401,ELIZABETH HOLSTEIN,8126681200,N/A,25-013766-2,7/31/2026
GEORGETOWN PLACE,Residential,1717 MAPLECREST ROAD,FORT WAYNE,46815,RENEE KREINBRINK,2604936927,N/A,25-013463-1,11/30/2026
"GLASSWATER CREEK OF LAFAYETTE, LLC",Residential,208 BECK LANE,LAFAYETTE,47909,LORI LINDSEY-CLARKSTON,7654771140,N/A,26-014148-1,2/28/2027
GLASSWATER CREEK OF PLAINFIELD,Residential,10480 GLASSWATER LANE,INDIANAPOLIS,46231,KARI COLLI,3178395808,N/A,28-014410-1,5/31/2026
GLASSWATER CREEK OF WHITESTOWN,Residential,5829 NEW HOPE BOULEVARD,WHITESTOWN,46075,HEIDI MYERS,4632098670,N/A,25-015004-1,8/31/2026
GRAND BROOK MEMORY CARE OF FISHERS,Residential,9796 EAST 131ST STREET,FISHERS,46038,KELLY DREY,3179142357,N/A,25-014253-1,11/30/2026
GRAND BROOK MEMORY CARE OF GREENWOOD,Residential,2444 SOUTH STATE ROAD 135,GREENWOOD,46143,MILISSA DOWNS,3174991310,N/A,26-014426-1,2/28/2027
GRAND BROOK MEMORY CARE OF ZIONSVILLE,Residential,11870 SANDY DRIVE,ZIONSVILLE,46077,SHERRI DAWSON,3179750049,N/A,25-014376-1,3/31/2026
GRAND EMERALD PLACE,Residential,4010 S IRONWOOD DR,SOUTH BEND,46614,JANICE KURTH,5742912222,N/A,25-013555-1,6/30/2026
"GRAND MARQUIS, THE",Residential,300 E WASHINGTON BLVD,FORT WAYNE,46802,JINA ROBBINS,2604225511,N/A,25-012288-1,5/31/2026
GRAND VALLEY GARDENS ASSISTED LIVING FACILITY,Residential,1151 S HUBERT CIRCLE WEST,MARTINSVILLE,46151,MICHELLE HEACOCK,7655588200,N/A,25-014168-1,8/31/2026
GRAND VICTORIAN OF GREENWOOD,Residential,2339 S STATE ROAD 135,GREENWOOD,46143,THOMAS TURNER II,3175350422,N/A,25-005722-1,3/31/2026
GRAND VICTORIAN OF ZIONSVILLE,Residential,11755 N MICHIGAN RD,ZIONSVILLE,46077,LILY PRICE,3178736300,N/A,25-012263-1,3/31/2026
GREEN OAKS OF GOSHEN,Residential,282 JOHNSTON STREET,GOSHEN,46528,CARLOS ROMERO,5745015342,N/A,25-015205-1,3/31/2026
GREEN OAKS OF VALPARAISO,Residential,2550 MORTHLAND DRIVE,VALPARAISO,46383,JARRETT MITCHELL,2193092550,N/A,25-015426-1,7/31/2026
GREENBRIAR VILLAGE,Residential,8800 SPOON DR,INDIANAPOLIS,46219,DEANNA REID,3178996777,N/A,25-011799-1,7/31/2026
HARMONY AT AVON,Residential,2141 NORTH DAN JONES ROAD,AVON,46123,SHANE PATTERSON,3179435400,N/A,25-014959-1,8/31/2026
HARMONY AT ELKHART,Residential,1129 PARKWAY AVENUE,ELKHART,46516,TARA CARNEY,5749668800,N/A,25-014916-1,6/30/2026
"HARRISON AT EAGLE VALLEY, THE",Residential,3060 VALLEY FARMS ROAD,INDIANAPOLIS,46214,CARMEN BOWLING,3172911112,N/A,25-014045-1,5/31/2026
HELLENIC SENIOR LIVING OF ELKHART,Residential,2528 BYPASS ROAD,ELKHART,46514,LINSEY FITTERLING,5743891776,N/A,25-014241-1,8/31/2026
HELLENIC SENIOR LIVING OF INDIANAPOLIS,Residential,8601 SOUTH SHELBY STREET,INDIANAPOLIS,46227,JAN CAUDILL,3178854446,N/A,25-014062-1,4/30/2026
HELLENIC SENIOR LIVING OF MISHAWAKA,Residential,1540 SOUTH LOGAN STREET,MISHAWAKA,46544,SARAH ROBINSON,5742578629,N/A,25-014224-1,11/30/2026
HELLENIC SENIOR LIVING OF NEW ALBANY,Residential,2632 GRANT LINE ROAD,NEW ALBANY,47150,ELSIE SHOEMAKER,8129449048,N/A,25-014166-1,5/31/2026
HERITAGE ASSISTED LIVING OF UNION CITY,Residential,204 STAUDT DRIVE,UNION CITY,47390,NICOLE FENTON,7653032056,N/A,25-015887-1,7/31/2026
HERITAGE ASSISTED LIVING OF YORKTOWN,Residential,1400 S PATRIOT DRIVE,YORKTOWN,47396,DAPHNE NEW,7656855040,N/A,25-014281-1,9/30/2026
HERITAGE PARK COMMONS,Residential,2002 HERITAGE PARK DRIVE,FORT WAYNE,46805,GREGORY HERVEL,2604849557,N/A,25-014113-1,6/30/2026
HERITAGE WOODS OF NEWBURGH,Residential,4211 GRIMM ROAD,NEWBURGH,47630,JANIE SWEDENBURG,8128539810,N/A,25-014377-1,3/31/2026
HERITAGE WOODS OF NOBLESVILLE,Residential,9600 E 146TH STREET,NOBLESVILLE,46060,JILLIAN PICKETT,3177706061,N/A,25-014213-1,7/31/2026
HI JILL'S HOUSE LLC,Residential,751 E TAMARACK TRAIL,BLOOMINGTON,47408,TERESA GLIDDEN,8122877962,N/A,26-013824-1,1/31/2027
INDEPENDENCE VILLAGE OF AVON,Residential,182 S COUNTY ROAD 550 E,AVON,46123,ROMEO BEHL,3177452766,N/A,25-003902-1,3/31/2026
INDEPENDENCE VILLAGE OF CARMEL,Residential,13390 N ILLINOIS STREET,CARMEL,46032,MARSHALL BOWMAN,3178180526,N/A,25-013297-2,6/30/2026
INDEPENDENCE VILLAGE OF FISHERS EAST,Residential,12950 TALBLICK STREET,FISHERS,46037,ANDREA LAKE,3177733854,N/A,25-013945-1,3/31/2026
INDEPENDENCE VILLAGE OF FISHERS SOUTH,Residential,9745 OLYMPIA DR,FISHERS,46038,CHRISTINE BRIGHT,3175761925,N/A,25-002999-1,3/31/2026
INDEPENDENCE VILLAGE OF ZIONSVILLE WEST,Residential,6800 CENTRAL BOULEVARD,ZIONSVILLE,46077,JAMES GEPP JR,3179730220,N/A,25-014059-1,3/31/2026
INDIANA MASONIC HOME INC,Residential,690 STATE STREET,FRANKLIN,46131,CHARLES SPENCER,3177366141,N/A,25-013460-1,3/31/2026
JEWEL PLACE SENIOR LIVING,Residential,607 VIRGINIA AVE,MADISON,47250,CASSANDRA A TRUEBLOOD,8122730432,N/A,25-004352-1,10/31/2026
KEEPSAKE VILLAGE OF COLUMBUS,Residential,2564 FOX POINTE DR,COLUMBUS,47203,HEATHER ANGEL,8123720950,N/A,25-010680-1,10/31/2026
KEYSTONE WOODS,Residential,2335 N MADISON AVE,ANDERSON,46011,KRISTIN JOHNSON,7656428020,N/A,25-010409-1,7/31/2026
KINGSTON OF DUPONT,Residential,1716 E DUPONT RD,FORT WAYNE,46825,DORIAN SHOEMAKER,2604905111,N/A,25-003000-2,11/30/2026
KINGSTON SENIOR LIVING OF FORT WAYNE,Residential,7515 WINCHESTER RD,FORT WAYNE,46819,AMANDA CRAIG,2607471523,N/A,25-001135-2,11/30/2026
KOKOMO PLACE ASSISTED LIVING,Residential,3025 W SYCAMORE ST,KOKOMO,46901,ANDREA STONESTREET,7654561490,N/A,25-011075-1,10/31/2026
LAKE MEADOWS SENIOR ASSISTED LIVING,Residential,11570 E 126TH STREET,FISHERS,46037,GOODWELL CHAVUNDUKA,3175274475,N/A,25-014910-1,4/30/2026
LAKE PARK RESIDENTIAL CARE,Residential,2075 RIPLEY ST,LAKE STATION,46405,JOELYNN MILLER-JOHNSON,2199629437,N/A,25-001136-1,9/30/2026
"LEGACY LIVING LEASING JASPER, LLC",Residential,1850 WEST STATE ROAD 56,JASPER,47546,THERESA WOLF,8125590200,N/A,25-014383-1,9/30/2026
LINCOLNSHIRE PLACE - FORT WAYNE,Residential,11911 DIEBOLD ROAD,FORT WAYNE,46845,TYLER WEILBAKER,2604711620,N/A,26-013687-1,2/28/2027
LINCOLNSHIRE PLACE - MUNCIE,Residential,1600 N MORRISON ROAD,MUNCIE,47304,CATHERINE HANSARD,7655872714,N/A,25-014463-1,3/31/2026
LUTHERAN LIFE VILLAGES,Residential,8075 GLENCARIN BOULEVARD,FORT WAYNE,46804,DEREK JONES,2604201866,N/A,26-013612-1,1/31/2027
LUTHERAN LIFE VILLAGES,Residential,11430 COLDWATER ROAD,FORT WAYNE,46845,AMY SAALFRANK,2604471591,N/A,25-014419-1,11/30/2026
"MANSION ON MAIN, THE",Residential,1420 EAST MAIN STREET,NEW ALBANY,47150,PETER HASTINGS,8129141161,N/A,26-013994-1,12/31/2026
MEADOW BROOK SENIOR LIVING,Residential,11011 VILLAGE SQUARE LANE,FISHERS,46038,TARA CURTIS-SCHWAB,3178424215,N/A,25-013163-1,9/30/2026
MELROSE ASSISTED LIVING LLC,Residential,7101 HIGHWAY 41 NORTH,EVANSVILLE,47725,LESLIE HEAD,8125564440,N/A,26-014866-1,12/31/2026
MILLER BEACH TERRACE,Residential,4905 MELTON RD,GARY,46403,JANUARY SZWEDA,2199380124,N/A,25-001140-1,6/30/2026
MORNING POINTE OF FRANKLIN,Residential,75 S MILFORD DR,FRANKLIN,46131,TRISTAN PRUITT,3177364665,N/A,25-002858-1,7/31/2026
MORNING VIEW NURSING AND REHABILITATION CENTER,Residential,475 NORTH NILES AVENUE,SOUTH BEND,46617,MITCHELL CRAVEN,5742464123,N/A,25-013149-1,8/31/2026
MUNCIE ESTATES SENIOR LIVING,Residential,1601 N MORRISON RD,MUNCIE,47304,DAWN BEEMAN,7652894260,N/A,26-010886-1,12/31/2026
NORTH WOODS VILLAGE AT EDISON LAKES,Residential,1409 E DAY ROAD,MISHAWAKA,46545,DEEJRA LEE,5742471866,N/A,25-013236-1,6/30/2026
"OASIS ASSISTED LIVING, INC",Residential,4301 WASHINGTON AVE,EVANSVILLE,47714,PAMELA CROUSE,8123033310,N/A,25-013613-1,10/31/2026
OASIS AT 30TH,Residential,5651 E 30TH STREET,INDIANAPOLIS,46218,HILANIE HAUK,3172979000,N/A,25-013347-1,11/30/2026
OASIS AT 56TH,Residential,4940 WEST 56TH STREET,INDIANAPOLIS,46254,TAUHIDAH DULLEN,3172973115,N/A,25-014279-1,11/30/2026
"PARK PLACE II, LLC",Residential,4411 PARK PLACE DR,FORT WAYNE,46845,KRISTIN TOWNSLEY,2604802500,N/A,25-012582-1,3/31/2026
PINE KNOLL ASSISTED LIVING CENTER,Residential,607 WILSON CREEK RD,LAWRENCEBURG,47025,LORI POE,8125374422,N/A,25-001142-1,3/31/2026
PRIMROSE MEMORY CARE OF ANDERSON,Residential,2101 N MADISON AVENUE,ANDERSON,46011,MARLEE OLEKSY,7656410050,N/A,25-013811-1,11/30/2026
PRIMROSE OF MISHAWAKA,Residential,820 FULMER ROAD,MISHAWAKA,46544,LAURINE RINGER,5742593211,N/A,26-013439-1,12/31/2026
PRIMROSE OF NEWBURGH,Residential,9800 LINCOLN AVE,NEWBURGH,47630,CARLA GRIMWOOD,8125730088,N/A,25-013846-1,6/30/2026
PRIMROSE RETIREMENT COMMUNITY OF ANDERSON,Residential,1118 W CROSS ST,ANDERSON,46011,KEIRA GILMORE,7656435000,N/A,25-011806-1,5/31/2026
PRIMROSE RETIREMENT COMMUNITY OF KOKOMO,Residential,329 W RAINBOW DR,KOKOMO,46901,PAMELA FREEMAN,7654551700,N/A,25-011555-1,4/30/2026
PROVIDENCE HOME BY FIR,Residential,1410 DEER RUN DRIVE,MISHAWAKA,46545,LEAH BENNETT,5743234890,N/A,25-015429-1,3/31/2026
RESIDENCES AT COFFEE CREEK,Residential,2300 VILLAGE POINT,CHESTERTON,46304,KAITLYNN REDMON,2199215200,N/A,25-014469-1,6/30/2026
RESIDENCES AT DEER CREEK,Residential,401 EAST US 30,SCHERERVILLE,46375,KAREN AYERSMAN,2198640700,N/A,25-013069-1,9/30/2026
RITTENHOUSE VILLAGE AT NORTHSIDE,Residential,1251 W 96TH ST,INDIANAPOLIS,46260,PAMALA WILLIAMS,3175759200,N/A,25-003282-1,9/30/2026
RIVER CROSSING ASSISTED LIVING COMMUNITY,Residential,2400 MARKET ST,CHARLESTOWN,47111,CAROLE MAYMON,8124061099,N/A,26-012007-1,1/31/2027
RIVERBEND,Residential,2715 CHARLESTOWN PIKE,JEFFERSONVILLE,47130,RICKI ELSTON,8122800965,N/A,26-010885-1,2/28/2027
RIVERCREST SENIOR LIVING,Residential,4917 GRANT LINE ROAD,NEW ALBANY,47150,LORI HESS,9302560240,N/A,25-015516-1,8/31/2026
RIVERWALK COMMUNITIES,Residential,401 S.E. 6TH STREET,EVANSVILLE,47713,KATIE GOLDSBERRY,8124251041,N/A,26-011274-1,1/31/2027
