Facility Name,Region,DataSource,IndividualId,Company/First Name,CAM,Care Team,Care Team Clinical Mgr,Telmediq ID,Facility Type,Status,Client Status,Facility NPI #,AddressLine1,City,State,StateCode,PostalCode,County,Work Phone,fax,Fax to Send Notes,Fax to Send Sched,Email,Email to Send Schedule,Lab,Lab Sched Day,Xray/Imaging,Home Health,Hospice,Total Patients,BHI Volume,CCM Volume,Telehealth Volume,Primary Care Volume,Primary Care ALF Volume,Primary Care SNF Volume,Primary Care IL Volume,Psychiatry Volume,Psychotherapy Volume,Ortho Volume,Mental Health Volume,Dermatology Volume,Podiatry Volume,Specialty Volume,Pain Volume,Wound Care Volume,MCO,APCM Volume,VBLTC Volume,Competitor,Licensed Bed #,Current Census #,Eventus EMR,Facility EMR MA Access,PC Provider 1,PC Provider 1 NPI,PC Sched Days 1,PC Provider 2,PC Provider 2 NPI,PC Sched Days 2,PC Provider 3,PC Sched Days 3,Medical Director,PC Sched Days 4,PC Provider - 4,PC Provider 1 / CTA,PC Provider 1 CTA,PC Provider 1 MA,PC Provider 2 MA,PC Start Date,PC Frequency,Medical Director Name,Psychiatry Provider 1,Psychiatry Provider 1 NPI,Psychiatry Sched Days 1,Psychiatry Provider 2,Psychiatry Provider 2 NPI,Psychiatry Sched Days 2,Psychiatry Provider 1 MA,Psychiatry Provider 2 MA,Psychiatry Provider 1 / CTA,Psychiatry Provider 1 CTA,Psychiatry Provider 2 CTA,Psychiatry Start Date,Psychiatry Frequency,Psychotherapy Provider 1,Psychotherapy Provider 1 NPI,Psychotherapy Sched Day 1,Psychotherapy Provider 2,Psychotherapy Sched Day 2,Psychotherapy Prov 1 MA,Psychotherapy Prov 2 MA,Psychotherapy Provider 2 NPI,Psychotherapy Provider 1 CTA,Psychotherapy Start Date,Psychotherapy Frequency,Podiatry Provider 1,Podiatry Provider 1 NPI,Podiatry Provider 2,Podiatry Provider 1 MA,Podiatry Sched Day 1,Podiatry Sched Day 2,Podiatry Start Date,Podiatry Frequency,Pain Provider 1,Pain Provider 1 MA,Pain Sched Day 1,Pain Provider 2,Pain Provider 2 MA,Pain Sched Day 2,Pain Start Date,Pain Frequency,Pain Freq Other,Pain Status,Wound Care Provider 1,Wound Care Provider 1 NPI,Wound Care Provider 1 MA,Wound Care Sched Day 1,Wound Care Provider 2,Wound Care Provider 2 MA,Wound Care Sched Day 2,Wound Care Start Date,Wound Care Frequency,Wound Care Freq Other,Wound Care Status,Specialty Provider 1,Specialty Provider 1 MA,Specialty Sched Day 1,Specialty Provider 2,Specialty Provider 2 MA,Specialty Sched Day 2,Specialty Start Date,Specialty Frequency,Specialty Freq Other,Specialty Status,Title/Position,Title,Parent Company,Legacy EMR,Mobile Phone,Alternate Phone,Contact 1,Contact 1 Email,Contact 1 Title/Position,Contact 1 Mobile Phone,Contact 1 Work Phone,Contact 1 Alternate Phone,Contact 2,Contact 2 Email,Contact 2 Title/Position,Contact 2 Mobile Phone,Contact 2 Work Phone,Contact 2 Alternate Phone,Contact 3,Contact 3 Email,Contact 3 Title Position,Contact 3 Mobile Phone,Contact 3 Work Phone,Contact 3 Alternate Phone,Contact 4,Contact 4 Email,Contact 4 Title/Position,Contact 4 Mobile Phone,Contact 4 Work Phone,Contact 4 Alternate Phone,Contact 5,Contact 5 Email,Contact 5 Title/Position,Contact 5 Mobile Phone,Contact 5 Work Phone,Contact 5 Alternate Phone,Contact 6,Contact 6 Email,Contact 6 Title/Position,Contact 6 Mobile Phone,Contact 6 Work Phone,Contact 6 Alternate Phone,Source System ID,AdvMD ID,AdvMD Name,Auto Sending of Sched,Attending MDDO,Attending MDDO NPI,Medical Director NPI,Back Up Lab,LTC ACO,ACO Reach,RMAL,Pharmacy,ACO Physician,ACO Physician NPI,EOD Report,BHI Coordinator,BHI Coordinator ID,Last Field Visit,Palliative Care NPI,Palliative Care Provider,Palliative Care Volume,SNP Volume,VA Patient Volume,Psychiatry Attending,Psychiatry Attending NPI,ISNP Provider,ISNP Provider NPI,Created,CMSCCN,,
Hopkins Center,,NULL,NULL,,Tiffany Johnson-Burnette,Southwest Kentucky,Shaye Tomblinson,NULL,SNF,Established,Green,1700989043,460 S College St.,Woodburn,,Kentucky,42170,"Warren County, KY",270-529-2853,610-925-7175,610-347-4584,610-347-4584,,lnewton@Hopkinshc.com ,facility orders,NA,facility orders,NA,NA,34,15,16,24,0,0,0,0,23,21,0,0,0,0,0,0,0,NULL,3,0,NULL,NULL,NULL,1574,PCC - integrated,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Abigail Pollachek,1649714197,M Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,Elizabeth Moran,1588254544,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Bluegrass/Encore,NULL,,,Alyssa Jaggers,ejaggers@hopkinshc.com,Regional Director of Nursing Float,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Libertye Newton,lnewton@Hopkinshc.com ,DON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1574,3428,HOPKINS CENTER,NULL,XXX,NULL,0,NULL,0,0,Kayla D. Saylor,NA,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,TBD,1,NULL,NULL,10/11/2023 6:56,185167,,
Hunter Hill Senior Village,,CP,6798084,,Grayson Rhodes,Carolinas Northeast,Leigh Cox Feranec,NULL,AL,Established,Green,1821510090,891 Noell Lane,Rocky Mount,,North Carolina,27804,"Nash County, NC",2522103751,(252) 210-3754,NULL,NULL,,hunterhill.clinical@gmail.com ; dwhoie@drassistedliving.com,Mako,2-Monday,MMDS,Assisted Care,NULL,38,21,26,36,37,37,0,0,36,34,0,0,0,0,0,3,0,NULL,28,0,NULL,NULL,NULL,1355,Caresuite,Renee Lamm,1487429148,Th Q1W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Evelyn Yeboah,1417749987,W Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,Dawn Burton,1831595867,M Q1W,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,JANET MOOSE,ECW,,,Rebecca Morgan,rmorgan@hunterhillassistedliving.com,RCC,NULL,NULL,NULL,David Whoie,dwhoie@drassistedliving.com,RCC/Admin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1355,3114,HUNTER HILL ASSISTED LIVING LLC,NULL,Gregorio Jacob,1558325811,0,NULL,11,0,Haley Shaffer,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,1124883426,Donisia Germany,7,0,1,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,NULL,,
Atrium Health Stanly Manor,,CP,6808088,,Bambi Anderson,Carolinas Central,Jennifer Shirley,NULL,SNF,Established,Green,1518135193,625 BETHANY RD,Albemarle,,North Carolina,28001,"Stanly County, NC",9803237373,9803237374,NULL,NULL,,"Sandra Williams, Ivy Colson, Jennifer Morgan, Crystal Helms",Core Lab (704) 512-4900 (clnclientservices@atriumhealth.org),NULL,NULL,NULL,NULL,24,10,5,22,0,0,0,0,20,17,0,0,0,0,0,2,0,NULL,0,0,NULL,NULL,NULL,1506,Epic,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Charles Myers,1306929674,Th Q2W,NULL,NULL,NULL,,,,,,3/13/2025,NULL,Veronica Pressley,1285926246,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,ATRIUM HEALTH,EPIC,,,Sandra Williams,sandra.c.williams@atriumhealth.org,Social Worker,NULL,NULL,NULL,Jennifer Morgan,jennifer.a.morgan@atriumhealth.org,Administrator,NULL,NULL,NULL,Lisa Williams,lisa.williams@advocatehealth.org,DON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tameeca Marshall,Tameeca.Marshall@advocatehealth.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1506,3367,ATRIUM HEALTH STANLY MANOR,NULL,XXX,NULL,0,NULL,0,0,Brittany Morgan,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,345281,,
The Landings of Rocky Mount Mills,,CP,6807620,,Grayson Rhodes,Carolinas Northeast,Leigh Cox Feranec,NULL,AL/MC,Established,Green,1598232563,1365 RIVER DR,Rocky Mount,,North Carolina,27804,"Nash County, NC",252.557.2740,252-557-2760,NULL,NULL,,director@landingsrockymount.com;  memorycare@landingsrockymount.com;  business@landingsrockymount.com,Mako,Monday,Trident Care,NULL,NULL,44,33,26,41,44,44,0,0,37,38,0,0,0,0,0,6,0,NULL,25,0,NULL,60,41,1502,ALG,Renee Lamm,1487429148,Th Q1W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Carla Pierce,1205589843,W Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,Dawn Burton,1831595867,F Q2W,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,ALG,NULL,,,Jessica Edwards,director@landingsrockymount.com,ED,NULL,NULL,NULL,Kimberly Boulware,memorycare@landingsrockymount.com,Memory Care Coordinator ,NULL,NULL,NULL,Pamela Manning,business@landingsrockymount.com,BOM,NULL,NULL,NULL,Cassandra Pittman,residentcare@landingsrockymount.com,RCC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1502,3357,THE LANDINGS OF ROCKY MOUNT MILLS,NULL,Gregorio Jacob,1558325811,0,NULL,15,0,Haley Shaffer,synchrony pharmacy,NULL,NULL,NULL,NULL,NULL,00:00.0,1124883426,Donisia Germany,23,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 14:59,NULL,,
Abbotswood at Irving Park IN,,CP,6797610,,Bambi Anderson,Carolinas Central,Jennifer Shirley,NULL,IL,Established,Red,abbotswoodAtIrvingParkIN,3504 FLINT ST,Greensboro,,North Carolina,27405,"Guilford County, NC",(336) 282-8870,(919) 317-6910,NULL,NULL,,wylette.jones@kiscosl.com,Mako,5-Thursday,MMDS,NULL,NULL,27,16,18,25,25,0,0,25,15,17,0,0,0,0,0,0,0,NULL,24,0,NULL,176,176,1283,No access,Henry Tripp,1104829142,W Q1W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Whitney King,1114808664,Tu Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,TBD,1,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Kisco Senior Living,ECW,,,Joy Hinshaw,joy.hinshaw@kiscosl.com,Health and Wellness Director (HWD),NULL,NULL,NULL,Marian Lee,marian.lee@kiscosl.com,Other,3362828870,NULL,M: 3362828870,Briona Allen,briona.allen@kiscosl.com,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1283,3047,ABBOTSWOOD AT IRVING PARK IN,NULL,Henry Tripp,1104829142,0,NULL,3,0,Brittany Morgan,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,1124883426,Donisia Germany,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 14:59,NULL,,
THE BLAKE AT CHARLOTTESVILLE-ALF,,NULL,NULL,,Melissa Been,Northern Virginia,Rachel Wilson,NULL,AL,Established,Yellow,1679265482,250 NICHOLS CT,CHARLOTTESVILLE,,Virginia,22901,Albemarle,434-234-8726,434-328-7315,NULL,NULL,,amanda.richardson@qslmseniorliving.com ; michelle.taylor@qslmseniorliving.com,NULL,NULL,NULL,NULL,NULL,15,9,10,10,13,13,0,0,10,0,0,0,0,0,0,0,0,NULL,9,0,NULL,NULL,NULL,1815,NULL,Michael Corbett,171018105,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Sandhya Poudel-Subedi,1568323277,F Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,XXX,0,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Quality Senior Living Partners,NULL,,,NULL,NULL,DON,NULL,NULL,NULL,Amanda Richardson,amanda.richardson@qslmseniorliving.com,DON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1815,NULL,NULL,NULL,TBD,1,0,NULL,7,0,Frances Morgan,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,TBD,1,NULL,NULL,6/7/2024 11:35,NULL,,
RUNK & PRATT FOREST-ALF,,NULL,NULL,,Melissa Been,Southern Virginia,Challen Mabry,NULL,AL,Established,Green,runkAndPrattForestAlf,208 GRISTMILL DRIVE,FOREST,,Virginia,24551,Bedford,434-385-8506,434-385-0392,434-385-0392,434-385-0392,,4343850392@rcfax.com,Sentra,NULL,NULL,NULL,NULL,29,10,11,27,0,0,0,0,28,26,0,0,0,0,0,0,0,NULL,20,0,NULL,NULL,NULL,1793,NULL,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Tammy Bogart,1366543316,Th Q1M,NULL,NULL,NULL,,,,,,NULL,NULL,Tracy Campbell,1467261974,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Runk & Pratt,NULL,,,Kimberley Gallaher,kimberley@runkandpratt.com,DON,NULL,NULL,NULL,Meia Booker,Meia.Booker@runkandpratt.com,Administrator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1793,NULL,NULL,NULL,XXX,0,0,NULL,0,0,Jessica Johnson,Express Care,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,1,TBD,1,NULL,NULL,6/7/2024 11:34,NULL,,
Signature Healthcare of McCreary County,,CP,6802411,,Tiffany Johnson-Burnette,Southwest Kentucky,Shaye Tomblinson,NULL,SNF,Established,Green,1578552048,58 Old Cal Hill Rd,Pine Knot,,Kentucky,42635,"McCreary County, KY",6063543155,NULL,NULL,NULL,,AdmDon.mccreary@shccs.com; Adon.mccreary@shccs.com; social2.mccreary@shccs.com,facility orders,NULL,facility orders,NULL,NULL,44,23,22,37,0,0,0,0,42,4,0,0,0,0,0,0,0,NULL,4,0,NULL,NULL,NULL,1437,Matrix - Signature,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Larrietta Elliotte,1144696907,F Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,XXX,0,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,SIGNATURE HEALTH,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,Rebecca Caddell,don.mccreary@shccs.com,DON,NULL,NULL,NULL,Beth Bryant,adon.mccreary@shccs.com,ADON,NULL,NULL,NULL,Kim Poynter,NULL,Regional Operations,2704278074,NULL,M: 2704278074,Rebecca Caddell,Don.mccreary@shccs.com,DON,NULL,NULL,NULL,Beth Bryant,Adon.mccreary@shccs.com,ADON,NULL,NULL,NULL,1437,3204,SIGNATURE HEALTHCARE OF MCCREARY COUNTY,NULL,XXX,NULL,0,NULL,0,0,Kayla D. Saylor,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,TBD,1,NULL,NULL,7/17/2023 15:00,185211,,
Wesley Manor ILF,,NULL,NULL,,Tammy Taschwer,Northwest Indiana,Madalene Beckner,NULL,IL,Established,Green,1548241045,1555 N MAIN STREET,FRANKFORT,,Indiana,46041,NULL,(765)659-1811,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,NULL,NULL,NULL,1895,PCC - integrated,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Sushila Thapa,1801679543,W Q1W,NULL,NULL,NULL,,,,,,NULL,NULL,Teena Turner,1659190353,NULL,NULL,NULL,,,NULL,,NULL,,NULL,NULL,,,NULL,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,BHI SENIOR LIVING,NULL,,,Lisa Click,lclick@wesleymanor.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1895,NULL,NULL,NULL,XXX,0,0,NULL,0,0,Russelina Charnley,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,TBD,1,NULL,NULL,6/18/2024 7:30,155658,,
Miller's - Hope,,CP,6797941,,Tiffany Johnson-Burnette,Southern Indiana,Cortney Hendress,NULL,SNF,Established,Green,1194747287,7440 N CR 825 E,HOPE,,Indiana,47246,"Bartholomew County, IN",8125464416,(812)546-0664,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,39,16,18,31,35,0,35,0,27,5,0,0,0,0,0,5,0,NULL,34,0,NULL,75,52,162,NULL,Elizabeth Holzhausen,1669296380,W Q1W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Sonya Taylor,1770267551,M Q1W,NULL,NULL,NULL,,,,,,NULL,NULL,XXX,0,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,MILLERS MERRY MANOR,NULL,,,May Mullenburg,hopess@millersmerrymanor.com,SW *send schedules*,NULL,NULL,NULL,Lexie Robbins,admin008@millershealthsystems.com,Administrator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Kendra Reynolds,don008@millershealthsystems.com,DON *send schedules*,NULL,NULL,NULL,Stephanie Brown,case008@millershealthsystems.com,Facility Case Manager *send schedules*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,162,74,MILLERS HOPE,NULL,XXX,0,0,NULL,11,0,Chelsea Shoots,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,TBD,1,NULL,NULL,7/17/2023 15:00,155579,,
Nicholasville Nursing and Rehab,,NULL,NULL,,Tiffany Johnson-Burnette,Northeast Kentucky,Margaret Wienclaw,NULL,SNFMD,Established,Green,1407401417,100 Sparks Avenue,Nicholasville,,Kentucky,40356,NULL,8598854171,0,0,0,,dns@nicholasvillenr.com,AHA,NULL,NULL,NULL,NULL,73,34,35,66,73,0,73,0,40,48,0,0,0,0,0,24,0,NULL,52,26,NULL,73,68,2032,PCC - integrated,Rae Eaves,1497179477,"M, W, F Q1W",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,1/31/2025,,Laura Faughn,Charlsey Nave,1043893977,NULL,NULL,NULL,NULL,,,,,,9/22/2025,NULL,TBD,1,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Majestic Care,NULL,,,Celina Stephens,dns@nicholasvillenr.com,DON,NULL,NULL,NULL,Jesse Vilerreal,mdrec@nicholasvillenr.com,Medical Records,NULL,NULL,NULL,Tracy Boulware,ed@nicholasvillenr.com,Executive Director,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2032,NULL,NULL,NULL,Laura Faughn,1861519241,1861519241,NULL,0,0,Kayla D. Saylor,Pharmscript,NULL,NULL,NULL,NULL,NULL,00:00.0,1902648363,Alicia Mathew,39,0,0,TBD,1,XXX,0,1/30/2025 9:42,185220,,
Elkhart Meadows,,CP,6808987,,Tammy Taschwer,Northwest Indiana,Madalene Beckner,NULL,SNF,Established,Green,1285706184,2600 MOREHOUSE AVE,ELKHART,,Indiana,46517,"Elkhart County, IN",574-295-8800,574-295-8670,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,42,23,19,39,41,0,41,0,28,14,0,0,0,0,0,0,0,NULL,37,0,NULL,NULL,NULL,1494,NULL,Marion Nganga,1912785643,Tu Q1W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Mary Nguru,1225894454,M Q1W,NULL,NULL,NULL,,,,,,NULL,NULL,Jill Freshour,1720077654,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,AMERICAN SENIOR COMMUNITIES,NULL,,,Diana Heath,170memcare@asccare.com,Social Worker,NULL,NULL,NULL,Evan Wiedeman,evanwiedeman@ascseniorcare.com,Administrator,NULL,NULL,NULL,Tim Burns,170ar1@asccare.com,Business Office Manager (BOM),NULL,NULL,NULL,Tiffany ,170medrec@asccare.com,medical records **include on schedules** ,NULL,NULL,NULL,Melissa Myers,MelissaBarber@asccare.com,DON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1494,3314,ELKHART MEADOWS,NULL,XXX,0,0,NULL,10,0,Russelina Charnley,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,0,XXX,0,18,0,TBD,1,FRANCESCA UDOH,1083262992,7/17/2023 15:00,155352,,
Brookdale Cary,,CP,6797638,,Grayson Rhodes,Carolinas Southeast,Valerie Blouin-Hunter,NULL,MC,Established,Green,brookdaleCary,7870 Chapel Hill Rd,Cary,,North Carolina,27513,"Wake County, NC",9198521355,(919) 852-0899,414-208-2119,414-208-2119,,ktribble@brookdale.com  ; e000800677@brookdale.com ; rstancil1@brookdale.com ; e100831506@brookdale.com,Mako,2-Monday,Trident Care,NULL,NULL,38,25,27,34,37,37,0,0,34,31,0,0,0,0,0,7,0,NULL,34,0,NULL,NULL,NULL,1301,NULL,Marlene Pereira,1972126795,Th Q1W & M Q2W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Warren Hatt,1396480851,Th Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,TBD,1,TBD,NULL,NULL,,,NULL,,NULL,,XXX,0,,,Q2M,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,BROOKDALE SENIOR LIVING,ECW,,,Jennifer Poole,e000800677@brookdale.com,RCC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ray Stancil,rstancil1@brookdale.com ,Sales and Marketing,NULL,NULL,NULL,Kendra Boocher ,Ktribble@brookdale.com,ED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jennifer Drilea  ,jendri@brookdale.com,HWD,NULL,NULL,NULL,1301,3177,BROOKDALE CARY,NULL,Parul Bhagalia- Patel,1841518768,0,NULL,18,0,Jaleecia Morton,NULL,NULL,NULL,NULL,Sarah Bastante,NULL,00:00.0,1275498594,Qi Zheng,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,NULL,,
